Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model,Condition_encoded,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Brand_encoded,Year_standardized,Engine Size_standardized,Mileage_standardized,Price_normalized
1,Tesla,2016.0,2.3,Petrol,Manual,114832.0,New,26613.92,Model X,2,False,False,False,True,False,True,0,0.6335136713611853,-0.8303389040835536,-0.40163219944557255,0.22746498627164496
2,BMW,2018.0,4.4,Electric,Manual,143190.0,Used,14679.61,5 Series,0,False,True,False,False,False,True,1,0.9200273920772997,0.6405685010807668,-0.07993327904163332,0.10180273370950305
3,Audi,2013.0,4.5,Electric,Manual,181601.0,New,44402.61,A4,2,False,True,False,False,False,True,2,0.2037430902870139,0.710611710850496,0.3558089182796062,0.41477090136264294
4,Tesla,2011.0,4.1,Diesel,Automatic,68682.0,New,86374.33,Model Y,2,True,False,False,False,True,False,0,-0.0827706304291004,0.4304388717715777,-0.9251671869849546,0.8567118999714862
5,Ford,2009.0,2.6,Diesel,Manual,223009.0,Like New,73577.1,Mustang,1,True,False,False,False,False,True,3,-0.36928435114521474,-0.6202092747743648,0.8255496932315181,0.7219635359390604
6,Audi,2019.0,2.4,Diesel,Automatic,246553.0,Like New,88969.76,Q7,1,True,False,False,False,True,False,2,1.0632842524353567,-0.7602956943138239,1.092637618402205,0.8840404661112429
7,Audi,2020.0,4.0,Electric,Automatic,135486.0,Used,63498.75,Q5,0,False,True,False,False,True,False,2,1.206541112793414,0.3603956620018484,-0.16732902214029852,0.615843604153338
8,Tesla,2017.0,5.3,Hybrid,Automatic,83030.0,New,17381.19,Model Y,2,False,False,True,False,True,False,0,0.7767705317192425,1.270957389008332,-0.7624005564060802,0.130249005699826
9,Honda,2023.0,5.7,Electric,Manual,120360.0,Like New,15905.62,Civic,1,False,True,False,False,False,True,4,1.6363116938675855,1.5511302280872503,-0.3389214429749831,0.11471199936991505
10,Ford,2010.0,1.5,Electric,Automatic,135009.0,Like New,9560.22,Explorer,1,False,True,False,False,True,False,3,-0.22602749078715756,-1.3906845822413896,-0.17274020716860372,0.04789814440822766
11,Tesla,2001.0,1.8,Diesel,Automatic,298875.0,Like New,58872.6,Model 3,1,True,False,False,False,True,False,0,-1.5153392340096719,-1.180554952932201,1.6861890294105595,0.5671325827628805
12,Ford,2017.0,5.7,Electric,Automatic,169737.0,Used,28074.19,Mustang,0,False,True,False,False,True,False,3,0.7767705317192425,1.5511302280872503,0.22122128898020796,0.2428408913343523
